-2	546	19	51	41	76	49	26	29	255	0	0
-1	428	31	31	43	57	56	42	159	6	0	3
0	341	23	18	49	62	62	78	25	24	0	0
1	988	34	64	66	162	453	105	95	8	1	0
2	697	58	14	141	289	113	60	11	10	1	0
3	346	12	32	123	45	65	25	38	5	1	0
4	571	21	388	28	36	48	34	15	1	0	0
5	1188	957	15	75	46	64	18	8	2	1	2
6	325	48	13	69	84	47	45	11	7	0	1
7	132	15	6	12	27	44	17	8	3	0	0
8	178	4	14	43	25	67	14	5	3	3	0
9	193	12	7	14	49	28	50	16	17	0	0
10	198	13	12	19	26	67	26	21	13	1	0
11	309	4	11	69	120	55	41	7	1	1	0
12	159	11	5	17	23	33	15	43	11	1	0
13	98	6	6	15	15	29	23	4	0	0	0
14	173	11	2	31	39	23	40	11	14	2	0
15	183	3	6	25	23	53	28	37	8	0	0
16	148	7	9	15	27	43	27	16	4	0	0
17	220	9	6	73	60	43	16	5	2	6	0
18	199	6	18	63	61	34	7	9	1	0	0
19	108	10	16	19	21	21	11	6	4	0	0
20	194	9	8	43	61	37	24	9	1	2	0
21	117	2	14	15	24	25	26	10	1	0	0
22	100	6	7	19	14	21	13	13	4	3	0
23	76	10	6	11	14	15	12	7	1	0	0
24	110	6	12	17	21	22	21	8	3	0	0
25	103	3	10	13	21	17	20	14	4	1	0
26	86	4	3	12	18	17	18	6	6	2	0
27	171	8	9	27	28	44	24	29	1	0	1
28	155	11	3	20	32	36	38	10	5	0	0
29	140	2	9	24	28	51	18	5	1	1	1
30	157	5	9	25	28	41	31	13	5	0	0
31	214	2	5	12	85	72	26	9	3	0	0
32	132	3	8	28	25	25	21	13	4	4	1
33	110	6	3	30	30	22	13	5	1	0	0
34	200	5	11	16	44	64	35	16	9	0	0
35	329	13	14	94	109	59	29	10	0	1	0
36	127	8	21	21	25	24	16	8	3	0	1
37	110	9	12	19	24	18	12	12	1	3	0
38	165	10	13	21	46	34	30	6	3	2	0
39	214	6	12	33	54	56	22	25	4	2	0
40	126	5	13	10	19	26	32	19	2	0	0
41	60	4	7	5	14	14	8	3	3	0	2
42	66	9	3	12	16	17	7	0	2	0	0
43	126	8	11	14	10	22	22	33	4	2	0
44	178	1	6	17	48	33	59	11	3	0	0
45	94	4	4	12	22	22	19	11	0	0	0
46	161	10	12	25	48	22	27	11	6	0	0
47	312	9	16	36	124	56	38	24	5	4	0
48	230	10	10	49	56	44	15	35	9	2	0
49	134	7	6	27	27	23	22	15	7	0	0
50	68	5	7	10	9	21	5	9	1	0	1
51	166	15	13	37	45	37	15	4	0	0	0
52	177	5	14	20	54	34	22	20	4	0	4
53	160	9	17	39	20	25	23	15	7	3	2
54	434	15	154	48	68	54	39	27	15	7	7
55	4102	1764	431	596	411	258	116	178	168	180	0
56	3166	509	681	438	312	210	414	263	339	0	0
57	659	80	84	160	72	100	68	94	1	0	0
58	844	85	173	149	86	154	140	54	3	0	0
59	526	137	138	44	115	68	13	9	2	0	0
